Q10365301,Rui Nabeiro
Q16337835,Manuel António Correia
Q3075716,Paula Teixeira da Cruz
Q993533,Isaltino Morais
Q28650390,João Lourenço
Q57313,José Eduardo dos Santos
Q10346718,Paulo Mota Pinto
Q311440,António Guterres
Q3179722,Joaquim Ferreira do Amaral
Q9618827,António Capucho
Q15980671,Carlos Zorrinho
Q10263990,Daniel Proença de Carvalho
Q10309118,José Carlos Rodrigues
Q463533,Michel Temer
Q10389340,Vasco Rato
Q349505,Belmiro de Azevedo
Q10263981,Daniel Oliveira
Q10389774,José Vera Jardim
Q9207629,Diogo Feio
Q9594142,Alberto Arons de Carvalho
Q9629375,Armando Sevinate Pinto
Q264766,Theresa May
Q729402,Rui Pereira
Q9619510,António Lobo Xavier
Q10281337,Fernando Faria de Oliveira
Q10309512,José Gomes Ferreira
Q10324736,Manuela Moura Guedes
Q10392072,Vitalino Canas
Q3081949,Francisco Seixas da Costa
Q1042803,Carlos Carvalhas
Q10347715,Pedro Queiroz Pereira
Q16485477,Adolfo Mesquita Nunes
Q10308689,José Adriano Gago Vitorino
Q10322865,Macário Correia
Q3179732,Joaquim Pina Moura
Q52161254,Margarida Balseiro Lopes
Q3047625,Edite Estrela
Q10334416,Mário David
Q732154,Miguel Cadilhe
Q971595,Heloísa Apolónia
Q250919,Álvaro Cunhal
Q6706856,Luís Queiró
Q16019,Wolfgang Schäuble
Q7155277,Paulo Pedroso
Q16143885,Agostinho Branquinho
Q2518,Helmut Kohl
Q10347660,Pedro Nuno Santos
Q11764395,Luís Marques Guedes
Q365986,António Correia de Campos
Q2469453,Paulo Macedo
Q9594512,Alberto S. Santos
Q10294766,Henrique Granadeiro
Q4777527,António Arnaut
Q1337232,Rui Tavares
Q456034,Isabel dos Santos
Q1353499,Otelo Saraiva de Carvalho
Q5041861,Carlos Alfredo de Brito
Q16336787,Arménio Carlos
Q91901804,José Júlio Pereira Gomes
Q10321580,Luís Nobre Guedes
Q9697042,Carlos Encarnação
Q1253,Ban Ki-moon
Q10294464,Helena Roseta
Q5361358,Elisa Ferreira
Q1318666,Fernando Ulrich
Q11728715,João Ferreira
Q16493646,Arlindo de Carvalho
Q10310225,José de Oliveira Costa
Q66688848,Paulino Ascenção
Q946,Donald Tusk
Q4681974,Adelino Amaro da Costa
Q722614,João de Deus Pinheiro
Q2344342,Nuno Crato
Q16336736,António Martins da Cruz
Q482868,Ana Jorge
Q23800376,João Pedro Matos Fernandes
Q43370959,Isabel C. F. R. Ferreira
Q30934991,Teresa Leal Coelho
Q23904964,Ana Paula Vitorino
Q9184746,Carlos da Costa Neves
Q23778050,João Miguel Tavares
Q9602307,Alexandre Relvas
Q8273607,Carlos Candal
Q10343483,Padre Max
Q10347430,Pedro Duarte
Q12983,Herman Van Rompuy
Q295049,Manuel Pinto da Costa
Q1317,Osama bin Laden
Q10310607,José Veiga Simão
Q367910,Mariano Gago
Q9601813,Alexandre Alves
Q206147,Zita Seabra
Q472589,Jaime Gama
Q21600813,Eduardo Cabrita
Q17496480,Pedro Soares
Q9604772,Almerindo da Silva Marques
Q3286873,Manuel Lobo Antunes
Q10338167,Nuno Cardoso
Q2119928,Vasco Graça Moura
Q15105537,Ricardo Rio
Q10328972,Mesquita Machado
Q5041962,Carlos Cruz
Q41395,José Luis Rodríguez Zapatero
Q43422874,Ricardo Mourinho Félix
Q10309889,José Manuel Pureza
Q38484,Romano Prodi
Q10263926,Daniel Campelo
Q17318177,Filipe de Botton
Q60780752,Mário Machado
Q2857763,António Serrano
Q56352307,Rubina Leal
Q9697231,Carlos Moedas
Q3018178,David Justino
Q6291307,José Silva Peneda
Q15833722,Manuel Seabra
Q16491101,Marques Júnior
Q3069515,Fernando Nogueira
Q10395757,Álvaro Barreto
Q9268064,Gilberto Madaíl
Q25694309,Júlio Meirinhos
Q4685594,Adriano Moreira
Q66713687,Paulo Neves
Q2643773,Alexandre Soares dos Santos
Q10287923,Gabriela Canavilhas
Q23905015,Joana Mortágua
Q10284869,Francisco José Viegas
Q590298,António Cardoso e Cunha
Q85871588,Emanuel Câmara
Q4777608,António Abreu
Q7925828,Vítor Crespo
Q4777639,António Sousa Franco
Q9545,Tony Blair
Q3331969,Mário Ferreira
Q983957,Januário Torgal Mendes Ferreira
