Q610788,Q57615,2017-01-31,https://arquivo.pt/wayback/20170131021853/http://observador.pt/2017/01/27/plano-alternativo-a-tsu-marca-debate-quinzenal-no-parlamento/
Q16940732,Q610788,2018-09-25,https://arquivo.pt/wayback/20180925190135/https://expresso.sapo.pt/politica/2018-09-23-Movimento-de-Rui-Moreira-confronta-Antonio-Costa-sobre-Infarmed
Q3186389,Q7378729,2019-06-03,https://arquivo.pt/wayback/20190603171215/https://www.jornaldenegocios.pt/economia/politica/detalhe/jose-luis-arnaut-rejeita-crise-na-direita-e-pede-solidariedade-real-a-rui-rio?act=0&est=Aberto
Q7378729,Q610788,2019-05-11,https://arquivo.pt/wayback/20190511055501/https://www.dn.pt/lusa/interior/governo-rui-rio-diz-que-antonio-costa-teve-defice-de-sentido-de-estado--10885484.html
Q40722,Q9029075,2014-10-05,https://arquivo.pt/wayback/20141005203553/http://expresso.sapo.pt/dilma-descola-de-marina-e-pode-ganhar-a-primeira-volta=f892193
Q7378729,Q444059,2009-04-22,https://publico.pt/1376021
Q182367,Q550243,2007-03-15,https://publico.pt/1288441
Q3186200,Q17725191,2019-06-30,https://arquivo.pt/wayback/20190630190932/https://observador.pt/2019/06/28/acordo-com-berardo-desprotegeu-de-forma-inaceitavel-posicao-do-estado-segundo-barreto-xavier/amp/
Q48856511,Q156780,2005-01-13,https://publico.pt/1212996
Q737410,Q769747,2009-02-06,https://publico.pt/1364169
Q182367,Q18707871,2016-09-10,https://arquivo.pt/wayback/20160910173014/http://observador.pt/2016/09/10/socrates-apresenta-queixa-contra-carlos-alexandre/
Q10394994,Q10263917,2014-10-11,https://arquivo.pt/wayback/20141011172902/http://noticias.sapo.pt/nacional/artigo/saida-de-zeinal-bava-deixa-pt-mais-vulneravel-daniel-bessa_18343923.html
Q2857730,Q21568721,2016-02-02,https://arquivo.pt/wayback/20160202045120/http://www.rtp.pt/noticias/economia/bagao-felix-considera-que-explicar-contradicoes-do-esboco-sera-bom-teste-para-centeno_n892685
Q10346767,Q57661,2017-07-07,https://arquivo.pt/wayback/20170707044902/http://www.tsf.pt/internacional/interior/paulo-rangel-surpreendido-com-cedencia-basica-e-elementar-de-juncker-ao-populismo-8613475.html
Q2571494,Q57615,2017-03-25,https://arquivo.pt/wayback/20170325034159/http://www.dn.pt/portugal/interior/carlos-cesar-chama-diabinho-a-passos-coelho-5508627.html
Q2571494,Q57398,2011-03-16,https://arquivo.pt/wayback/20110316010002/http://www.jornaldenegocios.pt/home.php?template=SHOWNEWS_V2&id=472277
Q57615,Q157,2012-10-19,https://publico.pt/1568063
Q10281394,Q182367,2014-11-26,https://arquivo.pt/wayback/20141126220321/http://www.publico.pt/politica/noticia/pinto-monteiro-critica-aproveitamento-politico-da-detencao-de-socrates-1677344
Q3186200,Q784504,2019-05-16,https://arquivo.pt/wayback/20190516200733/https://www.jn.pt/nacional/interior/berardo-acusa-governo-de-ter-tentado-prejudicar-jardim-2062419.html
Q182367,Q6706787,2008-01-30,https://arquivo.pt/wayback/20080130122053/http://noticias.sapo.pt/lusa/artigo/71b374a5404ff87959d8d8.html
Q10346767,Q611182,2014-05-23,https://arquivo.pt/wayback/20140523040310/http://sol.sapo.pt/noticia/24162
Q11728611,Q10307287,1995-03-14,https://www.linguateca.pt/CHAVE?PUBLICO-19950314-082
Q6293647,Q57398,1994-03-19,https://www.linguateca.pt/CHAVE?PUBLICO-19940319-188
